"Date & Time","use [kW]","gen [kW]","Register 1 [kW]","Register 2 [kW]","Register 3 [kW]","Register 4 [kW]","Register 5 [kW]","Register 6 [kW]","Register 7 [kW]","Register 8 [kW]","Register 9 [kW]","Register 10 [kW]","Register 11 [kW]","Register 12 [kW]","Solar [kW]"
2026-02-05 17:15:00,344.718042222,57.996796667,32.006046667,19.786865556,29.908244444,41.586000000,16.090263333,34.826570000,35.781358889,12.729221111,19.047877778,38.016408889,33.278324444,31.660861111,57.996796667
2026-02-05 17:00:00,344.610996667,71.158828889,32.082467778,20.726304444,30.716933333,39.382342222,14.150393333,33.363000000,37.317908889,14.324453333,19.735208889,38.266030000,33.319972222,31.225982222,71.158828889
2026-02-05 16:45:00,399.289427778,82.754103333,36.728682222,26.697144444,36.328415556,42.730924444,17.924906667,37.030308889,39.517675556,16.684678889,21.922865556,44.599448889,40.834146667,38.290230000,82.754103333
2026-02-05 16:30:00,388.586187778,92.257920000,36.111528889,26.703638889,36.016585556,43.241481111,18.340917778,36.978236667,38.641011111,15.767045556,21.898607778,41.778326667,38.076114444,35.032693333,92.257920000
2026-02-05 16:15:00,381.911906667,101.495040000,36.200505556,27.068984444,36.612825556,44.171142222,17.860836667,37.625783333,38.414365556,15.578882222,21.802995556,38.455474444,34.964032222,33.156078889,101.495040000
2026-02-05 16:00:00,388.613836667,109.370804444,37.687233333,27.443170000,36.605572222,44.115452222,18.462025556,38.377404444,38.730522222,16.011671111,22.225992222,38.812097778,36.768190000,33.374505556,109.370804444
2026-02-05 15:45:00,401.159904444,116.242802222,38.362773333,28.145980000,37.499653333,42.937003333,18.241650000,38.169124444,39.604461111,16.857663333,22.411193333,42.695141111,39.142391111,37.092870000,116.242802222
2026-02-05 15:30:00,407.699106667,120.534408889,38.680122222,28.211918889,38.166938889,43.230435556,18.805704444,38.383822222,40.079275556,17.443684444,22.518610000,43.397153333,40.392608889,38.388832222,120.534408889
2026-02-05 15:15:00,382.212374444,125.901736667,33.252152222,22.722797778,33.005753333,43.263365556,18.550410000,38.584185556,39.389766667,16.634172222,22.423228889,40.790195556,37.233011111,36.363335556,125.901736667
2026-02-05 15:00:00,390.743551111,131.706444444,32.746755556,22.346583333,31.895971111,47.160177778,22.055216667,41.432420000,38.948480000,16.310395556,22.475484444,40.615597778,38.392271111,36.364197778,131.706444444
2026-02-05 14:45:00,384.650732222,135.080687778,33.721491111,23.181143333,32.680466667,43.885786667,18.855605556,38.198501111,38.788575556,16.183684444,22.319583333,41.184456667,39.337213333,36.314224444,135.080687778
2026-02-05 14:30:00,385.103255556,137.759021111,34.192444444,23.860567778,32.723930000,42.414676667,18.488816667,37.420740000,39.368385556,16.771344444,22.339653333,41.279857778,39.263501111,36.979337778,137.759021111
2026-02-05 14:15:00,378.298008889,139.790096667,33.104002222,22.721035556,31.993426667,42.169212222,18.594054444,37.497032222,39.874321111,17.116895556,22.216421111,39.036544444,38.389623333,35.585440000,139.790096667
2026-02-05 14:00:00,392.386640000,142.144160000,32.517868889,23.087632222,32.835940000,43.102794444,18.666557778,38.374712222,39.506071111,16.675048889,22.219332222,43.326645556,42.532465556,39.541571111,142.144160000
2026-02-05 13:45:00,399.343017778,141.786451111,36.158734444,28.182686667,36.290861111,43.493608889,18.243200000,38.035218889,38.685804444,15.990572222,22.248663333,43.647180000,39.554546667,38.811941111,141.786451111
2026-02-05 13:30:00,387.157448889,141.696518889,36.679975556,26.583086667,36.710122222,43.590638889,18.225732222,38.032135556,38.741618889,16.012617778,22.269466667,39.172477778,35.777104444,35.362472222,141.696518889
2026-02-05 13:15:00,386.774362222,143.417423333,36.927308889,26.228664444,35.989208889,43.028461111,18.257333333,37.366571111,39.165363333,16.427606667,22.296258889,39.449568889,35.689726667,35.948290000,143.417423333
2026-02-05 13:00:00,394.313110000,141.539067778,36.715140000,26.451023333,35.851944444,43.462678889,18.620106667,38.670345556,39.810160000,16.879463333,22.164944444,41.158112222,37.268788889,37.260402222,141.539067778
2026-02-05 12:45:00,396.609643333,139.715546667,36.344354444,25.869030000,35.910401111,43.103766667,18.706237778,38.819643333,39.946716667,17.048422222,22.549324444,42.486411111,38.253717778,37.571617778,139.715546667
2026-02-05 12:30:00,392.752406667,137.591153333,35.459967778,26.271896667,35.889842222,44.908407778,19.453750000,39.926278889,38.996512222,16.246202222,22.507132222,39.408225556,38.053756667,35.630434444,137.591153333
2026-02-05 12:15:00,394.546752222,134.584245556,35.675881111,25.960742222,35.980288889,44.832036667,19.091156667,40.043495556,38.622083333,15.883951111,22.120983333,41.131398889,38.349826667,36.854907778,134.584245556
2026-02-05 12:00:00,401.548431111,130.814480000,36.039575556,25.866251111,35.944083333,43.665020000,18.958825556,38.983685556,38.938604444,16.050214444,21.904537778,44.313993333,40.768405556,40.115234444,130.814480000
2026-02-05 11:45:00,407.760491111,125.808533333,36.809355556,27.237443333,36.300374444,48.179352222,24.046518889,44.310500000,40.254452222,17.165578889,22.231561111,40.448432222,35.791206667,34.985715556,125.808533333
2026-02-05 11:30:00,408.348990000,119.952584444,35.678346667,26.053227778,36.181527778,49.772345556,25.608351111,45.648523333,39.895301111,17.071828889,22.061656667,39.132144444,36.424734444,34.821002222,119.952584444
2026-02-05 11:15:00,407.925334444,114.990488889,36.974405556,25.921170000,36.394313333,49.337902222,23.985320000,44.492817778,38.821495556,15.846493333,21.881897778,40.487273333,37.571815556,36.210430000,114.990488889
2026-02-05 11:00:00,396.091306667,108.458582222,36.427961111,25.813863333,36.533067778,44.977575556,18.764177778,40.408083333,38.817002222,15.633276667,21.869452222,41.283771111,38.549531111,37.013544444,108.458582222
2026-02-05 10:45:00,393.213998889,102.106776667,37.427371111,25.715044444,37.026117778,42.235091111,17.106673333,38.886043333,39.072920000,15.908693333,22.066110000,41.011342222,39.881307778,36.877284444,102.106776667
2026-02-05 10:30:00,411.854085556,94.226504444,36.653575556,25.798300000,36.564868889,42.756295556,17.811347778,39.516377778,40.011717778,16.931784444,22.788627778,47.349890000,43.987066667,41.684233333,94.226504444
2026-02-05 10:15:00,405.523213333,85.766486667,36.413433333,26.868296667,37.506826667,44.362700000,18.783696667,39.843934444,40.082082222,16.951964444,23.041728889,43.988762222,39.585468889,38.094318889,85.766486667
2026-02-05 10:00:00,392.313892222,76.593130000,34.756898889,25.724754444,35.556433333,44.557036667,19.282702222,39.718137778,38.879403333,15.962345556,22.237915556,41.142504444,38.115645556,36.380114444,76.593130000
2026-02-05 09:45:00,388.257336667,66.603594444,36.654865556,26.545012222,37.313323333,44.394952222,19.583971111,38.217650000,38.772198889,15.926922222,22.814945556,38.684674444,35.301677778,34.047143333,66.603594444
2026-02-05 09:30:00,406.068356667,55.488600000,39.860427778,28.143401111,37.717565556,45.115224444,20.935695556,39.851962222,38.723152222,16.085635556,22.194920000,41.813003333,38.589862222,37.037506667,55.488600000
2026-02-05 09:15:00,415.141302222,43.664914444,39.247523333,28.368942222,38.159516667,44.808764444,20.602496667,39.232660000,39.778810000,17.498028889,23.079288889,43.764225556,41.354304444,39.246741111,43.664914444
2026-02-05 09:00:00,398.731326667,32.902658889,37.639347778,26.806378889,37.824118889,43.530320000,18.703203333,37.993473333,38.702976667,16.476843333,21.738407778,42.111503333,39.908403333,37.296350000,32.902658889
2026-02-05 08:45:00,402.218162222,22.359827778,38.664761111,27.473155556,37.166504444,44.633813333,18.979547778,37.534306667,38.178772222,15.800538889,22.361845556,42.206055556,41.455215556,37.763645556,22.359827778
2026-02-05 08:30:00,393.924708889,12.479605556,38.660633333,27.582264444,37.451932222,42.831765556,18.503512222,36.981664444,37.806498889,15.357270000,22.102046667,40.530297778,39.251365556,36.865457778,12.479605556
2026-02-05 08:15:00,396.367265556,5.539410000,38.269116667,27.467945556,38.276842222,44.239884444,21.054932222,39.119907778,37.682212222,14.810163333,22.082082222,39.990656667,37.421362222,35.952160000,5.539410000
2026-02-05 08:00:00,393.139390000,2.959412222,37.661872222,26.861180000,39.220500000,42.716468889,20.043993333,37.450450000,38.828290000,15.754733333,22.346005556,39.566132222,36.953962222,35.735802222,2.959412222
